condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,budget,n_annotations_used,n_annotations_positive,seed,annotation_source,is_fixture
A2_feedback_langsung,entity,0.6643304332596622,0.9074074074074074,0.5740740740740741,0.6666666666666666,0.5329948665876911,0.19066147859922178,0.8959602324441645,0.352201642673325,0.3028294971389744,583.0,54.0,0.09262435677530018,42,137,0.9133846930088885,69,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5783724331986132,0.9074074074074074,0.48148148148148145,0.6111111111111112,0.5093619683565231,0.1536050156739812,0.8811462324393359,0.40195837237210796,0.3263209937852145,750.0,54.0,0.072,42,137,0.9133846930088885,69,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6443118642052319,0.9074074074074074,0.5370370370370371,0.6851851851851852,0.5416946513615826,0.196,0.8891689420989988,0.3382254058879236,0.29231378825281545,583.0,54.0,0.09262435677530018,43,93,0.9174190428838839,69,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5991720979635142,0.9074074074074074,0.5,0.6111111111111112,0.5221168939917338,0.16065573770491803,0.877234993614304,0.3739078173248005,0.30143914694445706,750.0,54.0,0.072,43,93,0.9174190428838839,69,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6361649028616468,0.9074074074074074,0.5370370370370371,0.6481481481481481,0.5317585420044437,0.18992248062015504,0.884828117342295,0.35559322999097515,0.3062451259434595,583.0,54.0,0.09262435677530018,44,104,0.9179769531730025,69,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5988705278759502,0.9074074074074074,0.5,0.5925925925925926,0.5193661458990766,0.1590909090909091,0.874467858663261,0.38786148147558563,0.3126741077774008,750.0,54.0,0.072,44,104,0.9179769531730025,69,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6424323020347388,0.8703703703703703,0.5370370370370371,0.6296296296296297,0.5364930002112419,0.1902834008097166,0.8833928446404816,0.33070514200934675,0.280872836206303,583.0,54.0,0.09262435677530018,45,90,0.9179447430974119,69,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5868724693345961,0.8703703703703703,0.5185185185185185,0.6296296296296297,0.5211533892936332,0.15771812080536912,0.8718603661132397,0.3555874589232019,0.28582004042086356,750.0,54.0,0.072,45,90,0.9179447430974119,69,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6796738848411584,1.0,0.5555555555555556,0.7037037037037037,0.5396619033453427,0.20074349442379183,0.918504515858013,0.3676322995377391,0.31508431363999395,583.0,54.0,0.09262435677530018,46,176,0.9178555169219372,69,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.6241265204232753,1.0,0.5185185185185185,0.6296296296296297,0.5262677976083053,0.16875,0.9156023839931886,0.3758284840713459,0.31034117238072106,750.0,54.0,0.072,46,176,0.9178555169219372,69,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6815823140914248,0.9074074074074074,0.5925925925925926,0.7037037037037037,0.5606562163399131,0.20851063829787234,0.900196037247077,0.3060170252213774,0.26569557690917606,583.0,54.0,0.09262435677530018,42,152,0.9157804084543351,162,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.6131484199188975,0.9074074074074074,0.5370370370370371,0.6296296296296297,0.5304347826086957,0.16554054054054054,0.8858024691358025,0.34794312953146433,0.28445730320632423,750.0,54.0,0.072,42,152,0.9157804084543351,162,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6515007493545422,0.8703703703703703,0.5555555555555556,0.6481481481481481,0.5693378226711561,0.21266968325791855,0.886718476510537,0.28958244939391675,0.23994017369134407,583.0,54.0,0.09262435677530018,43,87,0.9138177986837626,162,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.5850428195601747,0.8703703703703703,0.5,0.6111111111111112,0.5444128987853618,0.17216117216117216,0.8720200085142614,0.33004443413936435,0.2564301887925121,750.0,54.0,0.072,43,87,0.9138177986837626,162,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6460990088092331,0.9074074074074074,0.5555555555555556,0.6481481481481481,0.5542813455657493,0.20416666666666666,0.8935447735069664,0.3163883479035601,0.2621411049039781,583.0,54.0,0.09262435677530018,44,94,0.9211545639062384,162,100,69,61,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
